2017 다모아 빅데이터 기관정보 (부산),,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
49,부산광역시 ,공공,주민자치기관,동삼제2동 주민센터,부산광역시 영도구 본산남길 5,051-419-5741,https://jumin.busan.go.kr/dong/dongsam2/main/main.jsp,,
50,부산광역시 ,공공,주민자치기관,동삼제3동 주민센터,부산광역시 영도구 상리로 39,051-419-5761,http://jumin.busan.go.kr/dong/dongsam3/main/main.jsp,,
51,부산광역시 ,공공,국가 및 지자체,부산진구청,부산광역시 부산진구 시민공원로 30,051-605-4000,http://www.busanjin.go.kr/,,
52,부산광역시 ,공공,주민자치기관,부전제1동 주민센터,부산광역시 부산진구 범전로5번길 13,051-605-4901,https://jumin.busan.go.kr/dong/bujeon1/main/main.jsp,,
53,부산광역시 ,공공,주민자치기관,부전제2동 주민센터,부산광역시 부산진구 부전로20번길 13,051-605-4902,https://jumin.busan.go.kr/dong/bujeon2/main/main.jsp,,
54,부산광역시 ,공공,주민자치기관,연지동 주민센터,부산광역시 부산진구 국악로 30,051-605-4904,https://jumin.busan.go.kr/dong/yeonji/main/main.jsp,,
55,부산광역시 ,공공,주민자치기관,초읍동 주민센터,부산광역시 부산진구 새싹로 253,051-605-4905,https://jumin.busan.go.kr/dong/choeup/main/main.jsp,,
56,부산광역시 ,공공,주민자치기관,양정제1동 주민센터,부산광역시 부산진구 동평로406번길 38,051-605-4906,http://jumin.busan.go.kr/dong/yangjeong1/main/main.jsp,,
57,부산광역시 ,공공,주민자치기관,양정제2동 주민센터,부산광역시 부산진구 양정로15번길 26,051-605-4907,https://jumin.busan.go.kr/dong/yangjeong2/main/main.jsp,,
58,부산광역시 ,공공,주민자치기관,전포제1동 주민센터,부산광역시 부산진구 서전로68번길 75,051-605-4908,https://jumin.busan.go.kr/dong/jeonpo1/main/main.jsp,,
