2017 다모아 빅데이터 기관정보 (부산),,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
665,부산광역시 ,,,,,,,,
666,부산광역시 ,,,,,,,,
667,부산광역시 ,,,,,,,,
668,부산광역시 ,,,,,,,,
669,부산광역시 ,,,,,,,,
670,부산광역시 ,,,,,,,,
671,부산광역시 ,,,,,,,,
672,부산광역시 ,,,,,,,,
673,부산광역시 ,,,,,,,,
674,부산광역시 ,,,,,,,,
675,부산광역시 ,,,,,,,,
676,부산광역시 ,,,,,,,,
677,부산광역시 ,,,,,,,,
678,부산광역시 ,,,,,,,,
679,부산광역시 ,,,,,,,,
680,부산광역시 ,,,,,,,,
681,부산광역시 ,,,,,,,,
682,부산광역시 ,,,,,,,,
683,부산광역시 ,,,,,,,,
684,부산광역시 ,,,,,,,,
685,부산광역시 ,,,,,,,,
686,부산광역시 ,,,,,,,,
687,부산광역시 ,,,,,,,,
688,부산광역시 ,,,,,,,,
689,부산광역시 ,,,,,,,,
690,부산광역시 ,,,,,,,,
691,부산광역시 ,,,,,,,,
692,부산광역시 ,,,,,,,,
693,부산광역시 ,,,,,,,,
694,부산광역시 ,,,,,,,,
695,부산광역시 ,,,,,,,,
696,부산광역시 ,,,,,,,,
697,부산광역시 ,,,,,,,,
698,부산광역시 ,,,,,,,,
699,부산광역시 ,,,,,,,,
700,부산광역시 ,,,,,,,,
701,부산광역시 ,,,,,,,,
702,부산광역시 ,,,,,,,,
703,부산광역시 ,,,,,,,,
704,부산광역시 ,,,,,,,,
705,부산광역시 ,,,,,,,,
706,부산광역시 ,,,,,,,,
707,부산광역시 ,,,,,,,,
708,부산광역시 ,,,,,,,,
709,부산광역시 ,,,,,,,,
710,부산광역시 ,,,,,,,,
711,부산광역시 ,,,,,,,,
712,부산광역시 ,,,,,,,,
713,부산광역시 ,,,,,,,,
714,부산광역시 ,,,,,,,,
715,부산광역시 ,,,,,,,,
716,부산광역시 ,,,,,,,,
717,부산광역시 ,,,,,,,,
718,부산광역시 ,,,,,,,,
719,부산광역시 ,,,,,,,,
720,부산광역시 ,,,,,,,,
721,부산광역시 ,,,,,,,,
722,부산광역시 ,,,,,,,,
723,부산광역시 ,,,,,,,,
724,부산광역시 ,,,,,,,,
725,부산광역시 ,,,,,,,,
726,부산광역시 ,,,,,,,,
727,부산광역시 ,,,,,,,,
728,부산광역시 ,,,,,,,,
729,부산광역시 ,,,,,,,,
730,부산광역시 ,,,,,,,,
731,부산광역시 ,,,,,,,,
732,부산광역시 ,,,,,,,,
733,부산광역시 ,,,,,,,,
734,부산광역시 ,,,,,,,,
735,부산광역시 ,,,,,,,,
736,부산광역시 ,,,,,,,,
737,부산광역시 ,,,,,,,,
738,부산광역시 ,,,,,,,,
739,부산광역시 ,,,,,,,,
740,부산광역시 ,,,,,,,,
741,부산광역시 ,,,,,,,,
742,부산광역시 ,,,,,,,,
743,부산광역시 ,,,,,,,,
744,부산광역시 ,,,,,,,,
745,부산광역시 ,,,,,,,,
746,부산광역시 ,,,,,,,,
747,부산광역시 ,,,,,,,,
748,부산광역시 ,,,,,,,,
749,부산광역시 ,,,,,,,,
750,부산광역시 ,,,,,,,,
751,부산광역시 ,,,,,,,,
752,부산광역시 ,,,,,,,,
753,부산광역시 ,,,,,,,,
754,부산광역시 ,,,,,,,,
755,부산광역시 ,,,,,,,,
756,부산광역시 ,,,,,,,,
757,부산광역시 ,,,,,,,,
758,부산광역시 ,,,,,,,,
759,부산광역시 ,,,,,,,,
760,부산광역시 ,,,,,,,,
761,부산광역시 ,,,,,,,,
762,부산광역시 ,,,,,,,,
763,부산광역시 ,,,,,,,,
764,부산광역시 ,,,,,,,,
765,부산광역시 ,,,,,,,,
766,부산광역시 ,,,,,,,,
767,부산광역시 ,,,,,,,,
768,부산광역시 ,,,,,,,,
769,부산광역시 ,,,,,,,,
770,부산광역시 ,,,,,,,,
771,부산광역시 ,,,,,,,,
772,부산광역시 ,,,,,,,,
773,부산광역시 ,,,,,,,,
774,부산광역시 ,,,,,,,,
775,부산광역시 ,,,,,,,,
776,부산광역시 ,,,,,,,,
777,부산광역시 ,,,,,,,,
778,부산광역시 ,,,,,,,,
779,부산광역시 ,,,,,,,,
780,부산광역시 ,,,,,,,,
781,부산광역시 ,,,,,,,,
782,부산광역시 ,,,,,,,,
783,부산광역시 ,,,,,,,,
784,부산광역시 ,,,,,,,,
785,부산광역시 ,,,,,,,,
786,부산광역시 ,,,,,,,,
787,부산광역시 ,,,,,,,,
788,부산광역시 ,,,,,,,,
789,부산광역시 ,,,,,,,,
790,부산광역시 ,,,,,,,,
791,부산광역시 ,,,,,,,,
792,부산광역시 ,,,,,,,,
793,부산광역시 ,,,,,,,,
794,부산광역시 ,,,,,,,,
795,부산광역시 ,,,,,,,,
796,부산광역시 ,,,,,,,,
797,부산광역시 ,,,,,,,,
798,부산광역시 ,,,,,,,,
799,부산광역시 ,,,,,,,,
800,부산광역시 ,,,,,,,,
801,부산광역시 ,,,,,,,,
802,부산광역시 ,,,,,,,,
803,부산광역시 ,,,,,,,,
804,부산광역시 ,,,,,,,,
805,부산광역시 ,,,,,,,,
806,부산광역시 ,,,,,,,,
807,부산광역시 ,,,,,,,,
808,부산광역시 ,,,,,,,,
809,부산광역시 ,,,,,,,,
810,부산광역시 ,,,,,,,,
811,부산광역시 ,,,,,,,,
812,부산광역시 ,,,,,,,,
813,부산광역시 ,,,,,,,,
814,부산광역시 ,,,,,,,,
815,부산광역시 ,,,,,,,,
816,부산광역시 ,,,,,,,,
817,부산광역시 ,,,,,,,,
818,부산광역시 ,,,,,,,,
819,부산광역시 ,,,,,,,,
820,부산광역시 ,,,,,,,,
821,부산광역시 ,,,,,,,,
822,부산광역시 ,,,,,,,,
823,부산광역시 ,,,,,,,,
824,부산광역시 ,,,,,,,,
825,부산광역시 ,,,,,,,,
826,부산광역시 ,,,,,,,,
827,부산광역시 ,,,,,,,,
828,부산광역시 ,,,,,,,,
829,부산광역시 ,,,,,,,,
830,부산광역시 ,,,,,,,,
831,부산광역시 ,,,,,,,,
832,부산광역시 ,,,,,,,,
833,부산광역시 ,,,,,,,,
834,부산광역시 ,,,,,,,,
835,부산광역시 ,,,,,,,,
836,부산광역시 ,,,,,,,,
837,부산광역시 ,,,,,,,,
838,부산광역시 ,,,,,,,,
839,부산광역시 ,,,,,,,,
840,부산광역시 ,,,,,,,,
841,부산광역시 ,,,,,,,,
842,부산광역시 ,,,,,,,,
843,부산광역시 ,,,,,,,,
844,부산광역시 ,,,,,,,,
845,부산광역시 ,,,,,,,,
846,부산광역시 ,,,,,,,,
847,부산광역시 ,,,,,,,,
848,부산광역시 ,,,,,,,,
849,부산광역시 ,,,,,,,,
850,부산광역시 ,,,,,,,,
851,부산광역시 ,,,,,,,,
852,부산광역시 ,,,,,,,,
853,부산광역시 ,,,,,,,,
854,부산광역시 ,,,,,,,,
855,부산광역시 ,,,,,,,,
856,부산광역시 ,,,,,,,,
857,부산광역시 ,,,,,,,,
858,부산광역시 ,,,,,,,,
859,부산광역시 ,,,,,,,,
860,부산광역시 ,,,,,,,,
861,부산광역시 ,,,,,,,,
862,부산광역시 ,,,,,,,,
863,부산광역시 ,,,,,,,,
864,부산광역시 ,,,,,,,,
865,부산광역시 ,,,,,,,,
866,부산광역시 ,,,,,,,,
867,부산광역시 ,,,,,,,,
868,부산광역시 ,,,,,,,,
869,부산광역시 ,,,,,,,,
870,부산광역시 ,,,,,,,,
871,부산광역시 ,,,,,,,,
872,부산광역시 ,,,,,,,,
873,부산광역시 ,,,,,,,,
874,부산광역시 ,,,,,,,,
875,부산광역시 ,,,,,,,,
876,부산광역시 ,,,,,,,,
877,부산광역시 ,,,,,,,,
878,부산광역시 ,,,,,,,,
879,부산광역시 ,,,,,,,,
880,부산광역시 ,,,,,,,,
881,부산광역시 ,,,,,,,,
882,부산광역시 ,,,,,,,,
883,부산광역시 ,,,,,,,,
884,부산광역시 ,,,,,,,,
885,부산광역시 ,,,,,,,,
886,부산광역시 ,,,,,,,,
887,부산광역시 ,,,,,,,,
888,부산광역시 ,,,,,,,,
889,부산광역시 ,,,,,,,,
890,부산광역시 ,,,,,,,,
891,부산광역시 ,,,,,,,,
892,부산광역시 ,,,,,,,,
893,부산광역시 ,,,,,,,,
894,부산광역시 ,,,,,,,,
895,부산광역시 ,,,,,,,,
896,부산광역시 ,,,,,,,,
897,부산광역시 ,,,,,,,,
898,부산광역시 ,,,,,,,,
899,부산광역시 ,,,,,,,,
900,부산광역시 ,,,,,,,,
901,부산광역시 ,,,,,,,,
902,부산광역시 ,,,,,,,,
903,부산광역시 ,,,,,,,,
904,부산광역시 ,,,,,,,,
905,부산광역시 ,,,,,,,,
906,부산광역시 ,,,,,,,,
907,부산광역시 ,,,,,,,,
908,부산광역시 ,,,,,,,,
909,부산광역시 ,,,,,,,,
910,부산광역시 ,,,,,,,,
911,부산광역시 ,,,,,,,,
912,부산광역시 ,,,,,,,,
913,부산광역시 ,,,,,,,,
914,부산광역시 ,,,,,,,,
915,부산광역시 ,,,,,,,,
916,부산광역시 ,,,,,,,,
917,부산광역시 ,,,,,,,,
918,부산광역시 ,,,,,,,,
919,부산광역시 ,,,,,,,,
920,부산광역시 ,,,,,,,,
921,부산광역시 ,,,,,,,,
922,부산광역시 ,,,,,,,,
923,부산광역시 ,,,,,,,,
924,부산광역시 ,,,,,,,,
925,부산광역시 ,,,,,,,,
926,부산광역시 ,,,,,,,,
927,부산광역시 ,,,,,,,,
928,부산광역시 ,,,,,,,,
929,부산광역시 ,,,,,,,,
930,부산광역시 ,,,,,,,,
931,부산광역시 ,,,,,,,,
932,부산광역시 ,,,,,,,,
933,부산광역시 ,,,,,,,,
934,부산광역시 ,,,,,,,,
935,부산광역시 ,,,,,,,,
936,부산광역시 ,,,,,,,,
937,부산광역시 ,,,,,,,,
938,부산광역시 ,,,,,,,,
939,부산광역시 ,,,,,,,,
940,부산광역시 ,,,,,,,,
941,부산광역시 ,,,,,,,,
942,부산광역시 ,,,,,,,,
943,부산광역시 ,,,,,,,,
944,부산광역시 ,,,,,,,,
945,부산광역시 ,,,,,,,,
946,부산광역시 ,,,,,,,,
947,부산광역시 ,,,,,,,,
948,부산광역시 ,,,,,,,,
949,부산광역시 ,,,,,,,,
950,부산광역시 ,,,,,,,,
951,부산광역시 ,,,,,,,,
952,부산광역시 ,,,,,,,,
953,부산광역시 ,,,,,,,,
954,부산광역시 ,,,,,,,,
955,부산광역시 ,,,,,,,,
956,부산광역시 ,,,,,,,,
957,부산광역시 ,,,,,,,,
958,부산광역시 ,,,,,,,,
959,부산광역시 ,,,,,,,,
960,부산광역시 ,,,,,,,,
961,부산광역시 ,,,,,,,,
962,부산광역시 ,,,,,,,,
963,부산광역시 ,,,,,,,,
964,부산광역시 ,,,,,,,,
965,부산광역시 ,,,,,,,,
966,부산광역시 ,,,,,,,,
967,부산광역시 ,,,,,,,,
968,부산광역시 ,,,,,,,,
969,부산광역시 ,,,,,,,,
970,부산광역시 ,,,,,,,,
971,부산광역시 ,,,,,,,,
972,부산광역시 ,,,,,,,,
973,부산광역시 ,,,,,,,,
974,부산광역시 ,,,,,,,,
975,부산광역시 ,,,,,,,,
976,부산광역시 ,,,,,,,,
977,부산광역시 ,,,,,,,,
978,부산광역시 ,,,,,,,,
979,부산광역시 ,,,,,,,,
980,부산광역시 ,,,,,,,,
981,부산광역시 ,,,,,,,,
982,부산광역시 ,,,,,,,,
983,부산광역시 ,,,,,,,,
984,부산광역시 ,,,,,,,,
985,부산광역시 ,,,,,,,,
986,부산광역시 ,,,,,,,,
987,부산광역시 ,,,,,,,,
988,부산광역시 ,,,,,,,,
989,부산광역시 ,,,,,,,,
990,부산광역시 ,,,,,,,,
991,부산광역시 ,,,,,,,,
992,부산광역시 ,,,,,,,,
993,부산광역시 ,,,,,,,,
994,부산광역시 ,,,,,,,,
995,부산광역시 ,,,,,,,,
996,부산광역시 ,,,,,,,,
997,부산광역시 ,,,,,,,,
998,부산광역시 ,,,,,,,,
999,부산광역시 ,,,,,,,,
1000,부산광역시 ,,,,,,,,
